funny,user_id,review_id,text,business_id,stars,date,useful,type,cool
0,KpkOkG6RIf4Ra25Lhhxf1A,NxL8SIC5yqOdnlXCg18IBg,"If you enjoy service by someone who is as competent as he is personable, I would recommend Corey Kaplan highly. The time he has spent here has been very productive and working with him educational and enjoyable. I hope not to need him again (though this is highly unlikely) but knowing he is there if I do is very nice. By the way, I'm not from El Centro, CA. but Scottsdale, AZ.",2aFiy99vNLklCx3T_tGS9A,5,2011-10-10,0,review,0
0,bQ7fQq1otn9hKX-gXRsrgA,pXbbIgOXvLuTi_SPs1hQEQ,"After being on the phone with Verizon Wireless trying to figure out why my phone wasn't working for 4.5 hours, I was put in touch with Sharpie Tech. Well, after 10 seconds they fixed the problem. As the owner of a company that does our best numbers over the holiday season, having my phone out of order for 4.5 hours was horrible. Sharpie Tech fixed the problem in record time, even Verizon was shocked. I highly recommend working with this company and I look forward to working with them more. 

-Rachel Charlupski
Founder and CEO, The Babysitting Company",2aFiy99vNLklCx3T_tGS9A,5,2010-12-29,1,review,0
0,r1NUhdNmL6yU9Bn-Yx6FTw,wslW2Lu4NYylb1jEapAGsw,Great service! Corey is very service oriented. Works fast and very effiecient with his time. Going to use him again real soon to do additional IT services. thanks Corey.,2aFiy99vNLklCx3T_tGS9A,5,2011-04-29,0,review,0
0,aW3ix1KNZAvoM8q-WghA3Q,GP6YEearUWrzPtQYSF1vVg,Highly recommended. Went in yesterday looking for a dresser to use as a tv stand. Found the perfect piece for the retro look I'm going for. I found some other small decor items. Price was fair and they delivered today.  Shawn did a great job. Keep up the good work! I will definitely be back.,2LfIuF3_sX6uwe-IR-P0jQ,5,2014-07-14,0,review,1
0,YOo-Cip8HqvKp_p9nEGphw,25RlYGq2s5qShi-pn3ufVA,"I walked in here looking for a specific piece of furniture.  I didn't find it, but what I did find were so many things that I didn't even know I needed!  So much cool stuff here, go check it out!",2LfIuF3_sX6uwe-IR-P0jQ,4,2014-01-15,0,review,0
0,bgl3j8yJcRO-00NkUYsXGQ,Uf1Ki1yyH_JDKhLvn2e4FQ,What a great place! Modern on Melrose has amazing furniture at great prices. I highly recommend and will be back when I am looking for new pieces.,2LfIuF3_sX6uwe-IR-P0jQ,5,2013-04-28,2,review,1
0,CWKF9de-nskLYEqDDCfubg,oFmVZh-La7SuvpHrH_Al4Q,"A hidden gem! Found a beautiful buffet for a great price. Whether you're looking for new or something to refurbish, this place is def worth the look!",2LfIuF3_sX6uwe-IR-P0jQ,4,2014-10-12,0,review,0
0,GJ7PTY7huYORFKKg3db3Gw,bRvdVt88MJ_YMTlLbjDLxQ,"This place is a great for those vintage/mid century modern finds. From clothing to couches they have it all and great prices too.  They have similar items to their neighbors Modern Manor, but not the ""designer"" prices.  We got a green vintage chair for $98 and just are having the skirt around the bottom removed to show the great legs on it.  We will always check back at Melrose when looking for unique pieces for our home.",2LfIuF3_sX6uwe-IR-P0jQ,5,2012-09-18,2,review,0
0,rxqp9eXZj1jYTn0UIsm3Hg,zNUSxqflZKgKD1NQH3jdFA,"This is the place to go for all your Mid Century finds.
We live in Oro Valley and it is not too far to travel when we need a specific item.
I called yesterday asking if they has something we need and minutes later I was text numerous pictures.  Because of the excellent staff, I will be going up there today.
One of my number one places to go when I go to Phoenix.
Prices are very fair for these past treasures.",2LfIuF3_sX6uwe-IR-P0jQ,5,2015-10-11,0,review,0
0,UU0nHQtHPMAfLidk8tOHTg,LkP1l7sZIwOV6IKNLqQp_A,"Great items at a good price.  Helpful, easy to deal with owners.  Just the sort of place you LIKE spending  your dollars at...and they have furniture, etc. that you don't see elsewhere.",2LfIuF3_sX6uwe-IR-P0jQ,5,2015-04-05,0,review,0
