neighborhood,business_id,hours,is_open,address,attributes,categories,city,review_count,name,longitude,state,stars,latitude,postal_code,type
Southeast,hMh9XOwNQcu31NAOCqhAEw,,1,"4972 S Maryland Pkwy, Ste 22","[u'Alcohol: none', u""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", u'BikeParking: True', u'BusinessAcceptsCreditCards: True', u""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", u'Caters: True', u'GoodForKids: True', u'HasTV: True', u'NoiseLevel: quiet', u'OutdoorSeating: False', u'RestaurantsAttire: casual', u'RestaurantsDelivery: True', u'RestaurantsGoodForGroups: True', u'RestaurantsPriceRange2: 2', u'RestaurantsReservations: True', u'RestaurantsTableService: True', u'RestaurantsTakeOut: True', u'WiFi: free', u""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}""]","[u'Restaurants', u'Vegetarian', u'Indian']",Las Vegas,33,Taste of India,-115.136192,NV,3.5,36.099142,89119,business
Southeast,pmJqSsCfgbo3TxPWpQNLIw,"[u'Wednesday 10:0-14:0', u'Thursday 10:0-14:0', u'Friday 10:0-14:0', u'Saturday 10:0-14:0', u'Sunday 10:0-14:0']",0,2053 Pama Ln,"[u""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", u'BikeParking: False', u'BusinessAcceptsCreditCards: True', u""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", u'Caters: False', u'GoodForKids: False', u""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': True}"", u'HasTV: False', u'NoiseLevel: quiet', u'OutdoorSeating: False', u'RestaurantsAttire: casual', u'RestaurantsDelivery: False', u'RestaurantsGoodForGroups: False', u'RestaurantsPriceRange2: 2', u'RestaurantsReservations: True', u'RestaurantsTableService: True', u'RestaurantsTakeOut: True', u'WiFi: no']","[u'American (New)', u'Cafes', u'Restaurants']",Las Vegas,35,Artisanal Foods Cafe,-115.1239441,NV,4.5,36.0658388,89119,business
Northwest,A2pZTpFXWC38z506XIhnBQ,"[u'Monday 10:30-0:0', u'Tuesday 10:30-0:0', u'Wednesday 10:30-0:0', u'Thursday 10:30-0:0', u'Friday 10:30-0:0', u'Saturday 0:0-2:0', u'Saturday 10:30-0:0', u'Sunday 0:0-2:0', u'Sunday 10:30-0:0']",1,4949 N Rancho Dr,"[u'Alcohol: none', u""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", u'BusinessAcceptsCreditCards: True', u'Caters: True', u'GoodForKids: True', u'HasTV: True', u'NoiseLevel: loud', u'OutdoorSeating: False', u'RestaurantsAttire: casual', u'RestaurantsDelivery: False', u'RestaurantsGoodForGroups: True', u'RestaurantsPriceRange2: 1', u'RestaurantsReservations: False', u'RestaurantsTableService: False', u'RestaurantsTakeOut: True', u'WiFi: no', u""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", u'BikeParking: False', u""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}""]","[u'Chicken Wings', u'Fast Food', u'Restaurants']",Las Vegas,41,Wingstop,-115.244528251,NV,3.5,36.2497194319,89130,business
University,3rkxTx8DoZSl7_FryhXCVQ,"[u'Monday 10:30-21:30', u'Tuesday 10:30-21:30', u'Wednesday 10:30-21:30', u'Thursday 10:30-21:30', u'Friday 10:30-21:30', u'Sunday 10:30-21:30']",0,4747 S Maryland Pkwy,"[u'Alcohol: none', u""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", u'BusinessAcceptsCreditCards: True', u""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", u'Caters: False', u'GoodForKids: True', u""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}"", u'HasTV: False', u'NoiseLevel: quiet', u'OutdoorSeating: False', u'RestaurantsAttire: casual', u'RestaurantsGoodForGroups: True', u'RestaurantsPriceRange2: 2', u'RestaurantsReservations: False', u'RestaurantsTableService: True', u'RestaurantsTakeOut: True', u'WiFi: no']","[u'Restaurants', u'Chinese']",Las Vegas,34,Jugoo Chinese Restaurant,-115.1377251,NV,3.5,36.1041299,89119,business
Spring Valley,rECgTdKelvefty5JIXHDbg,"[u'Monday 6:0-23:0', u'Tuesday 6:0-23:0', u'Wednesday 6:0-23:0', u'Thursday 6:0-23:0', u'Friday 6:0-23:0', u'Saturday 6:0-23:0', u'Sunday 6:0-23:0']",1,8635 Spring Mountain Rd,"[u'Alcohol: none', u""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", u'BikeParking: True', u'BusinessAcceptsCreditCards: True', u""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", u'Caters: False', u'DriveThru: True', u'GoodForKids: True', u""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", u'HasTV: False', u'OutdoorSeating: True', u'RestaurantsAttire: casual', u'RestaurantsDelivery: False', u'RestaurantsGoodForGroups: True', u'RestaurantsPriceRange2: 1', u'RestaurantsReservations: False', u'RestaurantsTakeOut: True', u'WiFi: free', u'RestaurantsTableService: False']","[u'Fast Food', u'Restaurants', u'Burgers']",Las Vegas,36,McDonald's,-115.2718422,NV,2.0,36.1257455,89117,business
,OQcvO5P3gH0cuJ-bPXwfQQ,"[u'Monday 9:0-21:0', u'Tuesday 9:0-21:0', u'Wednesday 9:0-21:0', u'Thursday 9:0-21:0', u'Friday 9:0-21:0', u'Saturday 9:0-21:0', u'Sunday 9:0-17:0']",1,1920 N Decatur Blvd,"[u'Alcohol: none', u""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", u'BikeParking: False', u'BusinessAcceptsCreditCards: True', u""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", u'Caters: True', u'GoodForKids: True', u'HasTV: True', u'NoiseLevel: average', u'OutdoorSeating: False', u'RestaurantsAttire: casual', u'RestaurantsDelivery: False', u'RestaurantsGoodForGroups: True', u'RestaurantsPriceRange2: 1', u'RestaurantsReservations: False', u'RestaurantsTableService: True', u'RestaurantsTakeOut: True', u'WiFi: no', u""GoodForMeal: {'dessert': True, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': True}""]","[u'Restaurants', u'Mexican']",Las Vegas,40,Mi Pueblo Taco Shop,-115.205170581,NV,5.0,36.1947007117,89108,business
Spring Valley,ICWQfTi_Dvo723ZJicR8Vw,"[u'Monday 7:0-22:0', u'Tuesday 7:0-22:0', u'Wednesday 7:0-22:0', u'Thursday 7:0-22:0', u'Friday 7:0-22:0', u'Saturday 7:0-22:0', u'Sunday 7:0-22:0']",1,8650 W Tropicana Ave,"[u'Alcohol: none', u""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", u'BikeParking: True', u'BusinessAcceptsCreditCards: True', u'Caters: True', u'GoodForKids: True', u""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': True}"", u'HasTV: False', u'NoiseLevel: average', u'OutdoorSeating: False', u'RestaurantsAttire: casual', u'RestaurantsDelivery: False', u'RestaurantsGoodForGroups: True', u'RestaurantsPriceRange2: 1', u'RestaurantsReservations: False', u'RestaurantsTableService: False', u'RestaurantsTakeOut: True', u'WiFi: no', u""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""]","[u'Ethnic Grocery', u'Specialty Food', u'Food', u'International Grocery', u'Ethnic Food', u'Imported Food', u'Filipino', u'Restaurants', u'Grocery', u'Seafood']",Las Vegas,48,Island Pacific Seafood Market,-115.280462827,NV,3.5,36.1010606055,89147,business
,BmyRJmbVm4jGlkXg4ncLJQ,"[u'Monday 11:0-22:0', u'Tuesday 11:0-22:0', u'Wednesday 11:0-22:0', u'Thursday 11:0-22:0', u'Friday 11:0-22:0', u'Saturday 9:0-22:0', u'Sunday 9:0-22:0']",0,1780 N Buffalo Dr,"[u'Alcohol: full_bar', u""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", u'BikeParking: True', u'BusinessAcceptsCreditCards: True', u""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", u'Caters: True', u'GoodForKids: True', u""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}"", u'HasTV: True', u'NoiseLevel: average', u'OutdoorSeating: True', u'RestaurantsAttire: casual', u'RestaurantsDelivery: False', u'RestaurantsGoodForGroups: True', u'RestaurantsPriceRange2: 2', u'RestaurantsReservations: False', u'RestaurantsTableService: True', u'RestaurantsTakeOut: True', u'WiFi: no']","[u'Mexican', u'Restaurants']",Las Vegas,38,Fiesta Chips & Salsa,-115.2593102,NV,3.0,36.1915723,89128,business
The Strip,mgc8BmE6Tdt4MVOy6siZoA,,1,3200 S Las Vegas Blvd,"[u""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", u'BikeParking: True', u'BusinessAcceptsCreditCards: True', u""BusinessParking: {'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", u'GoodForKids: True', u""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", u'HasTV: False', u'OutdoorSeating: True', u'RestaurantsAttire: casual', u'RestaurantsDelivery: False', u'RestaurantsGoodForGroups: True', u'RestaurantsPriceRange2: 2', u'RestaurantsReservations: False', u'RestaurantsTakeOut: True', u'WheelchairAccessible: True']","[u'Food Court', u'Restaurants', u'Food']",Las Vegas,35,Food Court at Fashion Show Mall,-115.1715512,NV,2.5,36.1272241,89109,business
Centennial,n8XlV8E3BUBBF1gCe6mvEg,"[u'Monday 9:0-21:0', u'Tuesday 9:0-21:0', u'Wednesday 9:0-21:0', u'Thursday 9:0-21:0', u'Friday 9:0-21:0', u'Saturday 9:0-21:0', u'Sunday 9:0-21:0']",0,"8053 N Durango Dr, Ste 160","[u'Alcohol: full_bar', u""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", u'BikeParking: True', u'BusinessAcceptsBitcoin: False', u'BusinessAcceptsCreditCards: True', u""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", u'Caters: False', u'DogsAllowed: False', u'GoodForKids: True', u""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}"", u'HasTV: True', u'NoiseLevel: average', u'OutdoorSeating: True', u'RestaurantsAttire: casual', u'RestaurantsDelivery: False', u'RestaurantsGoodForGroups: False', u'RestaurantsPriceRange2: 2', u'RestaurantsReservations: False', u'RestaurantsTableService: False', u'RestaurantsTakeOut: True', u'WheelchairAccessible: True', u'WiFi: no']","[u'Restaurants', u'Beer', u'Wine & Spirits', u'Delis', u'Food', u'Grocery']",Las Vegas,34,House of Vino,-115.2785988,NV,3.5,36.3076324,89131,business
